Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,13865,Spergittklubben,0.01,0.07,0,Nei,Ja,5605,SØR-VARANGER,56,Finnmark,69.7948,30.395617,0.5,Nei,5.94,13,Øst-Finnmark
49,2025,34297,Stabben,0.05,0.06,0,Nei,Ja,5512,TJELDSUND,55,Troms,68.40113,16.2172,0.5,Nei,6.2,9,Vestfjorden og Vesterålen
49,2025,28896,Stangholmen,0.46,0.57,0,Nei,Ja,1836,RØDØY,18,Nordland,66.61802,12.954667,0.5,Nei,7.6,8,Helgeland til Bodø
49,2025,40017,Stangnes,,,,Ja,Nei,5603,HAMMERFEST,56,Finnmark,70.51192,23.751883,0.5,,,12,Vest-Finnmark
49,2025,45046,Stasøya,0.13,0.21,0,Nei,Ja,5060,NÆRØYSUND,50,Trøndelag,64.80155,11.633783,0.5,Nei,11.4,7,Nord-Trøndelag med Bindal
49,2025,32697,Steilo,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.51185,14.951633,0.5,,,9,Vestfjorden og Vesterålen
49,2025,30537,Steinflesa,,,,Ja,Nei,5052,LEKA,50,Trøndelag,65.134834,11.515983,0.5,,,7,Nord-Trøndelag med Bindal
49,2025,13708,Steinvik,,,,Ja,Nei,4602,KINN,46,Vestland,61.565266,5.31025,0.5,,,4,Nordhordaland til Stadt
49,2025,10825,Steinviknes,0.43,0.81,0.19,Nei,Ja,5614,LOPPA,56,Finnmark,70.15147,22.308067,0.5,Nei,7.73,12,Vest-Finnmark
49,2025,13290,Stigvika,0.3,0.21,0.01,Nei,Ja,1838,GILDESKÅL,18,Nordland,67.06895,14.076583,0.5,Nei,7.9,8,Helgeland til Bodø
49,2025,11525,Stille S,,,,Ja,Nei,4625,AUSTEVOLL,46,Vestland,60.081635,5.144183,0.5,,,3,Karmøy til Sotra
49,2025,31217,Stokkasjøen,0.39,1.58,0.15,Nei,Ja,1816,VEVELSTAD,18,Nordland,65.78252,12.591783,0.5,Nei,7.96,8,Helgeland til Bodø
49,2025,19015,Stokkvika,,,,Ja,Nei,5055,HEIM,50,Trøndelag,63.333534,9.180583,0.5,,,6,Nordmøre og Sør-Trøndelag
49,2025,11649,Stolane,0.33,0.88,0,Nei,Ja,4631,ALVER,46,Vestland,60.60465,5.126483,0.5,Nei,9.37,4,Nordhordaland til Stadt
49,2025,15956,Storbukt,,,,Ja,Nei,5605,SØR-VARANGER,56,Finnmark,69.914665,29.487076,0.5,,,13,Øst-Finnmark
49,2025,10974,Store Bukkøy N,0,0,0,Nei,Ja,1834,LURØY,18,Nordland,66.40072,12.4117,0.5,Nei,7.86,8,Helgeland til Bodø
49,2025,36099,Store Kobbøy,0.22,1.07,0.28,Nei,Ja,5618,MÅSØY,56,Finnmark,70.91161,25.32495,0.5,Nei,7.1,12,Vest-Finnmark
49,2025,10839,Store Kufjord,,,,Ja,Nei,5601,ALTA,56,Finnmark,70.35332,23.079117,0.5,,,12,Vest-Finnmark
49,2025,10281,Store Kvalfjord,0.02,0.27,1.48,Nei,Ja,5601,ALTA,56,Finnmark,70.32111,22.896517,0.5,Nei,7.03,12,Vest-Finnmark
49,2025,10789,Store Lerresfjord,0,0,0,Nei,Ja,5601,ALTA,56,Finnmark,70.2875,23.465883,0.5,Nei,6.25,12,Vest-Finnmark
